longitude,latitude,timestamp
-74.19278,40.68079,2023-12-10T08:35:35Z
-74.19276,40.68085,2023-12-10T08:35:35Z
-74.19264,40.68109,2023-12-10T08:35:37Z
-74.19261,40.68114,2023-12-10T08:35:37Z
-74.19259,40.68119,2023-12-10T08:35:37Z
-74.19257,40.68125,2023-12-10T08:35:38Z
-74.19254,40.68133,2023-12-10T08:35:38Z
-74.19251,40.68143,2023-12-10T08:35:39Z
-74.19249,40.68149,2023-12-10T08:35:39Z
-74.19248,40.68154,2023-12-10T08:35:40Z
-74.19247,40.6816,2023-12-10T08:35:40Z
-74.19246,40.68165,2023-12-10T08:35:41Z
-74.19245,40.6817,2023-12-10T08:35:41Z
-74.19244,40.68176,2023-12-10T08:35:41Z
-74.19241,40.68232,2023-12-10T08:35:45Z
-74.1924,40.68242,2023-12-10T08:35:46Z
-74.19241,40.68254,2023-12-10T08:35:46Z
-74.19241,40.68265,2023-12-10T08:35:47Z
-74.19245,40.6832,2023-12-10T08:35:51Z
-74.19245,40.6832,2023-12-10T08:35:51Z
-74.1925,40.68364,2023-12-10T08:35:54Z
-74.19249,40.68386,2023-12-10T08:35:55Z
-74.19251,40.68407,2023-12-10T08:35:57Z
-74.19251,40.6843,2023-12-10T08:35:58Z
-74.19252,40.68452,2023-12-10T08:36:00Z
-74.19253,40.68474,2023-12-10T08:36:01Z
-74.19253,40.68496,2023-12-10T08:36:03Z
-74.19253,40.68518,2023-12-10T08:36:04Z
-74.1925,40.68706,2023-12-10T08:36:17Z
-74.1925,40.68728,2023-12-10T08:36:18Z
-74.1925,40.6874,2023-12-10T08:36:19Z
-74.19249,40.6875,2023-12-10T08:36:20Z
-74.19248,40.68762,2023-12-10T08:36:20Z
-74.19246,40.68772,2023-12-10T08:36:21Z
-74.19244,40.68784,2023-12-10T08:36:22Z
-74.19242,40.68794,2023-12-10T08:36:23Z
-74.19239,40.68805,2023-12-10T08:36:23Z
-74.19236,40.68816,2023-12-10T08:36:24Z
-74.19233,40.68827,2023-12-10T08:36:25Z
-74.1923,40.68837,2023-12-10T08:36:26Z
-74.19226,40.68848,2023-12-10T08:36:26Z
-74.19223,40.68859,2023-12-10T08:36:27Z
-74.19219,40.6887,2023-12-10T08:36:28Z
-74.19219,40.6887,2023-12-10T08:36:28Z
-74.19215,40.6888,2023-12-10T08:36:28Z
-74.19211,40.6889,2023-12-10T08:36:29Z
-74.19206,40.68901,2023-12-10T08:36:30Z
-74.19201,40.68912,2023-12-10T08:36:31Z
-74.19197,40.68922,2023-12-10T08:36:31Z
-74.19192,40.68933,2023-12-10T08:36:32Z
-74.19162,40.68995,2023-12-10T08:36:37Z
-74.19156,40.69005,2023-12-10T08:36:37Z
-74.1915,40.69016,2023-12-10T08:36:38Z
-74.19145,40.69026,2023-12-10T08:36:39Z
-74.19139,40.69035,2023-12-10T08:36:40Z
-74.19133,40.69045,2023-12-10T08:36:40Z
-74.19127,40.69055,2023-12-10T08:36:41Z
-74.19119,40.69066,2023-12-10T08:36:42Z
-74.19112,40.69075,2023-12-10T08:36:43Z
-74.19104,40.69085,2023-12-10T08:36:43Z
-74.19097,40.69094,2023-12-10T08:36:44Z
-74.19089,40.69103,2023-12-10T08:36:45Z
-74.1908,40.69112,2023-12-10T08:36:45Z
-74.1907,40.69122,2023-12-10T08:36:46Z
-74.19063,40.69129,2023-12-10T08:36:47Z
-74.19053,40.69138,2023-12-10T08:36:48Z
-74.19044,40.69146,2023-12-10T08:36:48Z
-74.19034,40.69154,2023-12-10T08:36:49Z
-74.19024,40.69162,2023-12-10T08:36:50Z
-74.19004,40.69178,2023-12-10T08:36:51Z
-74.18983,40.69193,2023-12-10T08:36:53Z
-74.18858,40.69286,2023-12-10T08:37:02Z
-74.18797,40.69332,2023-12-10T08:37:06Z
-74.18786,40.6934,2023-12-10T08:37:07Z
-74.18777,40.69348,2023-12-10T08:37:07Z
-74.18767,40.69357,2023-12-10T08:37:08Z
-74.18757,40.69365,2023-12-10T08:37:09Z
-74.18748,40.69374,2023-12-10T08:37:10Z
-74.18739,40.69382,2023-12-10T08:37:10Z
-74.1873,40.6939,2023-12-10T08:37:11Z
-74.18722,40.69399,2023-12-10T08:37:12Z
-74.18713,40.69408,2023-12-10T08:37:13Z
-74.18713,40.69408,2023-12-10T08:37:13Z
-74.18679,40.69444,2023-12-10T08:37:16Z
-74.1867,40.69453,2023-12-10T08:37:16Z
-74.18662,40.69462,2023-12-10T08:37:17Z
-74.18654,40.69471,2023-12-10T08:37:18Z
-74.18624,40.69506,2023-12-10T08:37:21Z
-74.18609,40.69523,2023-12-10T08:37:22Z
-74.18594,40.69542,2023-12-10T08:37:23Z
-74.18549,40.69598,2023-12-10T08:37:28Z
-74.18549,40.69598,2023-12-10T08:37:28Z
-74.18542,40.69609,2023-12-10T08:37:29Z
-74.18537,40.69618,2023-12-10T08:37:29Z
-74.18532,40.69627,2023-12-10T08:37:30Z
-74.18527,40.69634,2023-12-10T08:37:30Z
-74.18523,40.69642,2023-12-10T08:37:31Z
-74.1852,40.69648,2023-12-10T08:37:31Z
-74.18517,40.69654,2023-12-10T08:37:32Z
-74.18514,40.6966,2023-12-10T08:37:32Z
-74.18512,40.69666,2023-12-10T08:37:33Z
-74.1851,40.69672,2023-12-10T08:37:33Z
-74.18508,40.69677,2023-12-10T08:37:33Z
-74.18507,40.69683,2023-12-10T08:37:34Z
-74.18505,40.69689,2023-12-10T08:37:34Z
-74.18504,40.69695,2023-12-10T08:37:35Z
-74.18504,40.697,2023-12-10T08:37:35Z
-74.18504,40.69706,2023-12-10T08:37:35Z
-74.18503,40.69712,2023-12-10T08:37:36Z
-74.18504,40.69718,2023-12-10T08:37:36Z
-74.18505,40.69724,2023-12-10T08:37:37Z
-74.18506,40.6973,2023-12-10T08:37:37Z
-74.18507,40.69736,2023-12-10T08:37:37Z
-74.18509,40.69742,2023-12-10T08:37:38Z
-74.18512,40.69748,2023-12-10T08:37:38Z
-74.18536,40.69807,2023-12-10T08:37:42Z
-74.18538,40.69814,2023-12-10T08:37:43Z
-74.1854,40.6982,2023-12-10T08:37:43Z
-74.18542,40.69826,2023-12-10T08:37:44Z
-74.18544,40.69832,2023-12-10T08:37:44Z
-74.18545,40.69838,2023-12-10T08:37:45Z
-74.18546,40.69844,2023-12-10T08:37:45Z
-74.18548,40.69851,2023-12-10T08:37:45Z
-74.18549,40.69859,2023-12-10T08:37:46Z
-74.1855,40.69867,2023-12-10T08:37:46Z
-74.1855,40.69875,2023-12-10T08:37:47Z
-74.1855,40.69882,2023-12-10T08:37:47Z
-74.18551,40.69889,2023-12-10T08:37:48Z
-74.1855,40.69898,2023-12-10T08:37:49Z
